gp_id,gp_label,site_name,patient_count,rec_count,poor_pcg_count,poor_ecg_count,murmur_flag_count,low_ef_flag_count,af_flag_count,assigned_rec_count,assigned_poor_pcg_count,assigned_poor_ecg_count,assigned_murmur_flag_count,assigned_low_ef_flag_count,assigned_af_flag_count
704,GP-704,Guru Nanak Medical Centre,0,2,0,0,0,0,0,0,0,0,0,0,0
705,GP-705,Spring Grove Medical Practice,0,0,0,0,0,0,0,0,0,0,0,0,0
706,GP-706,Preston Road Surgery,63,81,1,3,6,5,0,64,1,0,5,4,0
707,GP-707,Willesden Green Surgery,0,5,0,2,1,0,0,0,0,0,0,0,0
708,GP-708,Meadow View Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0
709,GP-709,Neasden Medical Centre,0,2,0,2,0,0,0,0,0,0,0,0,0
710,GP-710,High Street Surgery,13,21,0,4,3,3,0,13,0,1,1,1,0
711,GP-711,Oxford Drive Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
712,GP-712,St. Margarets Practice,0,0,0,0,0,0,0,0,0,0,0,0,0
713,GP-713,The Lonsdale Medical Centre,0,4,0,1,1,1,0,0,0,0,0,0,0
714,GP-714,Perivale Medical Clinic,20,56,7,18,5,2,2,20,2,2,2,0,0
715,GP-715,The Willesden Medical Centre,0,2,0,0,0,0,0,0,0,0,0,0,0
716,GP-716,Grove Park Terrace Surgery,6,35,0,1,1,0,2,6,0,0,1,0,0
717,GP-717,Ellis Practice,0,0,0,0,0,0,0,0,0,0,0,0,0
718,GP-718,Holland Park Surgery,0,1,0,0,0,0,0,0,0,0,0,0,0
719,GP-719,Grove Park Terrace Surgery,2,9,1,4,0,0,0,2,0,0,0,0,0
720,GP-720,Fitzrovia Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
721,GP-721,Willesden Green Surgery,3,6,0,0,0,0,1,3,0,0,0,0,0
722,GP-722,Oxgate Gardens Surgery,0,2,0,0,1,1,0,0,0,0,0,0,0
723,GP-723,Roxbourne Medical Centre,40,48,0,1,5,3,3,41,0,0,3,3,3
724,GP-724,Premier Medical Centre,0,0,0,0,0,0,0,0,0,0,0,0,0
725,GP-725,Spring Grove Medical Practice,1,5,0,1,0,0,2,1,0,0,0,0,1
